id,signal_key,entry_time,exit_time,direction,entry_price,exit_price,stop_loss,size,pnl_r,pnl_pct,exit_reason,confirmations,ai_score
266,15358-long,2026-05-11T15:58:00,2026-05-11T16:10:00,long,81414.07,81723.79,81656.12935659314,0.134442,1.9,1.9,tp3_full_close,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'adx', 'vwap', 'rvol', 'mtf_confirmation', 'breaker_block', 'mitigation_block', 'fake_breakout']",72.94
267,15373-long,2026-05-11T16:13:00,2026-05-11T16:16:00,long,81721.63,81721.63,81721.63,0.116697,0.4,0.4,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'adx', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",69.71
268,15446-long,2026-05-11T17:26:00,2026-05-11T17:38:00,long,81621.14,81825.32,81772.59512757909,0.152574,1.9,1.9,tp3_full_close,"['trend_ema', 'structure', 'order_block', 'fvg', 'rsi', 'macd', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",70.29
269,15461-long,2026-05-11T17:41:00,2026-05-11T17:47:00,long,81934.01,81972.88932196531,81972.88932196531,0.147154,1.1716369719991573,1.1716369719991573,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'momentum_candle', 'rsi', 'macd', 'adx', 'vwap', 'volume_spike', 'rvol', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",74.12
270,15487-long,2026-05-11T18:07:00,2026-05-11T18:11:00,long,82075.5,82017.37414632502,82017.37414632502,0.17204,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'adx', 'vwap', 'rvol', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",69.71
271,15511-long,2026-05-11T18:31:00,2026-05-11T18:34:00,long,82102.24,82035.38917133355,82035.38917133355,0.149587,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'vwap', 'volume_spike', 'rvol', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",69.71
272,15594-long,2026-05-11T19:54:00,2026-05-11T19:58:00,long,81940.98,81954.81407062859,81954.81407062859,0.185172,0.5537012191123093,0.5537012191123093,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'macd', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",69.71
273,15704-long,2026-05-11T21:44:00,2026-05-11T21:46:00,long,81740.12,81702.01608239124,81702.01608239124,0.26244,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'adx', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",74.41
274,15723-long,2026-05-11T22:03:00,2026-05-11T22:08:00,long,81968.67,81913.89290311738,81913.89290311738,0.182558,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'momentum_candle', 'rsi', 'macd', 'adx', 'vwap', 'volume_spike', 'rvol', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",72.94
275,15768-long,2026-05-11T22:48:00,2026-05-11T22:53:00,long,81847.34,81893.08883715843,81893.08883715843,0.266292,1.3654761055961766,1.3654761055961766,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'rsi', 'macd', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",70.29
276,15816-long,2026-05-11T23:36:00,2026-05-11T23:44:00,long,81748.86,81794.55692602841,81794.55692602841,0.328018,1.4496825631964314,1.4496825631964314,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'rsi', 'macd', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",70.29
277,15919-short,2026-05-12T01:19:00,2026-05-12T01:24:00,short,81385.58,81337.37777097162,81337.37777097162,0.187302,1.2708519207287046,1.2708519207287046,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'adx', 'vwap', 'breaker_block', 'mitigation_block']",29.71
278,15934-short,2026-05-12T01:34:00,2026-05-12T01:36:00,short,81154.53,80991.91,81067.34657414383,0.135588,1.9,1.9,tp3_full_close,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'momentum_candle', 'rsi', 'macd', 'adx', 'vwap', 'volume_spike', 'rvol', 'breaker_block', 'mitigation_block']",30.0
279,16041-short,2026-05-12T03:21:00,2026-05-12T03:24:00,short,81211.18,81191.36233653098,81191.36233653098,0.372831,0.843318105266244,0.843318105266244,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'macd', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",29.41
280,16066-short,2026-05-12T03:46:00,2026-05-12T03:48:00,short,81110.71,81110.71,81110.71,0.320821,0.4,0.4,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'momentum_candle', 'rsi', 'macd', 'adx', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",28.53
281,16081-short,2026-05-12T04:01:00,2026-05-12T04:05:00,short,81048.98,81048.98,81048.98,0.264915,0.4,0.4,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'adx', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block', 'institutional_zone']",28.82
282,16153-short,2026-05-12T05:13:00,2026-05-12T05:15:00,short,81216.59,81239.96617948244,81239.96617948244,0.427786,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",28.82
283,16200-short,2026-05-12T06:00:00,2026-05-12T06:01:00,short,81207.83,81235.70949980282,81235.70949980282,0.358686,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'rsi', 'macd', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",30.88
284,16229-short,2026-05-12T06:29:00,2026-05-12T06:33:00,short,81217.29,81132.15,81156.28120482869,0.462999,1.9,1.9,tp3_full_close,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'vwap', 'rvol', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",30.59
285,16251-short,2026-05-12T06:51:00,2026-05-12T07:02:00,short,81037.55,80933.3,80961.88378109582,0.304896,1.9,1.9,tp3_full_close,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'momentum_candle', 'rsi', 'macd', 'adx', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block', 'institutional_zone']",27.06
